MT,Klimats
1,2
2,2
3,2
4,3
5,3
6,3
7,2
8,3
9,3
10,3
11,4
12,3
14,3
15,4
16,4
17,2
18,2
19,3
21,3
22,2
23,2
24,3
25,3
